Title,Cost,Description,Effect,Ego,Morph,Skills,Stats,Coditional,Source
Tacnet Sniper,10,"If they have eyes on the target through an ally's tacnet link, the character can make indirect fire attacks with only a -10 modifier rather than the usual -30. This only applies if the character uses tacnet, not through any other means.",,TRUE,FALSE,,,FALSE,
Temperature Intolerance (Warm),-10,"The morph is adapted for extreme cold and has difficulty dissipating body heat in temperatures tolerated by normal transhumans. When exposed to vacuum or temperatures above 5 C for more than 10 minutes, the character suffers a -10 modifier to all actions. At 10 C, increase the modifier to -20. At temperatures above 25 C, the character may suffer 1d10 DV per hour exposed from overheating, at the gamemaster's discretion. These effects can be nullified by wearing a vacsuit, the application of some sort of cooling system, or returning to a suitably cold environment.",,,,,,FALSE,
Tenure,10,"The character holds a tenured professorship at a university such as Titan Autonomous University or the University of Mars. This position gives them privi- leged access to the university's resources, funds, and grad assistants. The character receives a +20 bonus on Networking Tests involving the university and its staff. Additionally, favors such as goods, services, and information acquired via those university network connections are one favor level lower. These bonuses do not extend outside the university's influence. The tenured character will, of course, be expected to occasionally produce research results or other findings or pieces of work to validate their exploitation of university resources.",,TRUE,FALSE,,,FALSE,
Timid,-10,This character frightens easily. They suffer a -10 modifier when resisting fear or intimidation.,,TRUE,FALSE,,,FALSE,
Trauma Tolerance (Level 1),10,"This character has a higher threshold for handling traumatic experiences and is better at ignoring the effects of stress on their abilities and concentration. Level 1 allows them to ignore the -10 modifier from 1 trauma. Level 2 allows them to ignore the -10 modifiers from 2 traumas. Initiative modifiers still apply. In both cases, the character is also not immediately inflicted with any derangements as a result of these traumas. Any additional traumas affect the character as normal; postponed derange- ments don't count for the purpose of raising derange- ment effects, but they do count towards determining when a disorder is applied. Blocking out traumati- cally stressful experiences is a temporary measure, however, as the experience still lingers and festers in the dark recesses of the character's mind. A short period of time later (1d10 / 2 hours, round down), the character's facade of mental fortitude will crackand the -10 trauma modifier(s) and derangement(s) will kick in at one level higher. A character who ignored a trauma that would have inflicted a minor derangement, for example, will a few hours later be struck by a moderate derangement.",,TRUE,FALSE,,,FALSE,
Trauma Tolerance (Level 2),20,"This character has a higher threshold for handling traumatic experiences and is better at ignoring the effects of stress on their abilities and concentration. Level 1 allows them to ignore the -10 modifier from 1 trauma. Level 2 allows them to ignore the -10 modifiers from 2 traumas. Initiative modifiers still apply. In both cases, the character is also not immediately inflicted with any derangements as a result of these traumas. Any additional traumas affect the character as normal; postponed derange- ments don't count for the purpose of raising derange- ment effects, but they do count towards determining when a disorder is applied. Blocking out traumati- cally stressful experiences is a temporary measure, however, as the experience still lingers and festers in the dark recesses of the character's mind. A short period of time later (1d10 / 2 hours, round down), the character's facade of mental fortitude will crackand the -10 trauma modifier(s) and derangement(s) will kick in at one level higher. A character who ignored a trauma that would have inflicted a minor derangement, for example, will a few hours later be struck by a moderate derangement.",,TRUE,FALSE,,,FALSE,
Trusting Heart,-10,The character has a tendency to trust others far too quickly and is devastated when betrayed. Stress loss from betrayal is doubled and the character suffers a -10 modifier when using Kinesics in Opposed Tests against Deception or Impersonation skills.,,TRUE,FALSE,,,FALSE,
Unattractive - Uplift (Level 1),-5,"In a time when good looks are easily purchased, this morph is conspicuously ugly. As unattractiveness is increasingly associated with being poor, backward, or genetically defective, responses to a lack of good looks range from distaste to horror. The character suffers a -10 modifier on social tests. This trait is only available to uplifts. This modifier is only effective against characters with your specific uplift background (i.e., neo-avians, neo-hominids, etc.).",,FALSE,TRUE,,,FALSE,
Unattractive - Uplift (Level 2),-10,"In a time when good looks are easily purchased, this morph is conspicuously ugly. As unattractiveness is increasingly associated with being poor, backward, or genetically defective, responses to a lack of good looks range from distaste to horror. The character suffers a -20 modifier on social tests. This trait is only available to uplifts. This modifier is only effective against characters with your specific uplift background (i.e., neo-avians, neo-hominids, etc.).",,FALSE,TRUE,,,FALSE,
Unattractive - Uplift (Level 3),-15,"In a time when good looks are easily purchased, this morph is conspicuously ugly. As unattractiveness is increasingly associated with being poor, backward, or genetically defective, responses to a lack of good looks range from distaste to horror. The character suffers a -30 modifier on social tests. This trait is only available to uplifts. This modifier is only effective against characters with your specific uplift background (i.e., neo-avians, neo-hominids, etc.).",,FALSE,TRUE,,,FALSE,
Unattractive (Level 1),-10,"In a time when good looks are easily purchased, this morph is conspicuously ugly. As unattractiveness is increasingly associated with being poor, backward, or genetically defective, responses to a lack of good looks range from distaste to horror. The character suffers a -10 modifier on social tests. Only biomorphs may take this trait. This modifier does not apply to interactions with xenomorphs or those with the infolife or uplift backgrounds.",,FALSE,TRUE,,,FALSE,
Unattractive (Level 2),-20,"In a time when good looks are easily purchased, this morph is conspicuously ugly. As unattractiveness is increasingly associated with being poor, backward, or genetically defective, responses to a lack of good looks range from distaste to horror. The character suffers a -20 modifier on social tests. Only biomorphs may take this trait. This modifier does not apply to interactions with xenomorphs or those with the infolife or uplift backgrounds.",,FALSE,TRUE,,,FALSE,
Unattractive (Level 3),-30,"In a time when good looks are easily purchased, this morph is conspicuously ugly. As unattractiveness is increasingly associated with being poor, backward, or genetically defective, responses to a lack of good looks range from distaste to horror. The character suffers a -30 modifier on social tests. Only biomorphs may take this trait. This modifier does not apply to interactions with xenomorphs or those with the infolife or uplift backgrounds.",,FALSE,TRUE,,,FALSE,
Uncanny Valley,-10,"There is a point where synthetic human looks become uncannily realistic and human-seeming, but they remain just different enough that their looks seem creepy or even repulsive a phenomenon called the uncanny valley. Morphs whose looks fall into this range suffer a -10 modifier on social skill tests when dealing with humans. This modifier does not apply to interactions with xenomorphs or those with the infolife or uplift backgrounds.",,FALSE,TRUE,,,FALSE,
Uncontrollable Urge,-10,"The ego or morph has an overwhelming primal drive that is not properly filtered by the brain, such as the urge for hunting, hiding food, mating, marking territory, driving off competitors (or, for the rare synthmorph, cleaning, serving, or shutting down when not in use), and so on. When presented with triggering stimuli, the character must pass a WIL x 3 Test to resist acting out the compulsion immediately. While resisting the compulsion, the character suffers a -10 to all actions. Uncontrollable drives are poorly received in most circles. This trait is most common among uplifts.",,FALSE,TRUE,,,FALSE,
Uncontrollable Urge,-10,"The ego or morph has an overwhelming primal drive that is not properly filtered by the brain, such as the urge for hunting, hiding food, mating, marking territory, driving off competitors (or, for the rare synthmorph, cleaning, serving, or shutting down when not in use), and so on. When presented with triggering stimuli, the character must pass a WIL x 3 Test to resist acting out the compulsion immediately. While resisting the compulsion, the character suffers a -10 to all actions. Uncontrollable drives are poorly received in most circles. This trait is most common among uplifts.",,TRUE,FALSE,,,FALSE,
Unique Contact,10,"You have a personal tie to an individual with unique skills or resources of particular value to your clandestine activities. This connection may be be based on blood or family ties, shared history, or some other situation that permanently linked you together. Though the contact does not owe you, they are generally inclined to help you, presuming it does not greatly inconvenience them or put them at great risk. This contact could be a weapons dealer, a high-ranking government official, a major hypercorp exec, a scientist at the top of their field, a media icon, a deep-cover mole, a police lieutenant, or even a field agent from a rival group. Apply a +10 modifier on Networking and Social Skill Tests with this specific NPC.",,TRUE,FALSE,,,FALSE,
Unique Look,0,"The morph is engineered to stand out in a society with sophisticated cloning and fabrication technology. The exact nature of the unique look varies based on the morph. Some employ proprietary technology secured by DRM in order to prevent others from copying the exact look of the morph. Others are secured by reputation alone-the look of an infamous triad crime boss would never be copied for fear of retribution. Whatever the reason, no one will mistake this morph for someone else. Any attempt to impersonate a morph with this trait suffers a -30 penalty. Characters with this trait tend to cause extremely positive or negative reactions in social situations. Characters with this trait may gain a positive modifier of up to +30 in certain Social Skill Tests or suffer up to a -30 penalty on Social Skill Tests, depending on the circumstance. In general, morphs with the Unique Look trait are strongly associated with a particular element of transhuman society, so characters with this trait will become de facto representatives of that element of society and others will treat them accordingly.",,FALSE,TRUE,,,FALSE,
Untarnished Reputation,15,"Through fame, a lifetime of achievement, or some lucky quirk, the character's reputation in one particular social network is very difficult to assail. Choose one reputation network. Any test to attack the character's reputation in that network suffers a -30 modifier, and any rep losses in that network are automatically halved. This does not apply if the character burns their own rep.",,TRUE,FALSE,,,FALSE,
Very Large Size,0,"The morph is huge in size, bigger than many vehicles. It counts as a very large target in combat, providing opponents with a +20 modifier to hit. Their mass works against them; triple the damage from falling or collisions after armor is applied. The morph gains the reach advantage (p. 204, EP) against largesized targets; double this bonus against medium and small targets. It can wield two-handed weapons in one hand, but suffers a -20 modifier with medium-sized objects and cannot use small items or smaller, unless they come equipped with fine manipulators. Very large morphs are too big to wear standard clothing and armor and do not fit within the confines of cramped habitats. This trait only applies to morphs that are inherently very large. The following existing morphs are considered to have the Very Large Size trait: neo-whales and surya. The following existing bots and vehicles are considered to have the Very Large Size trait: cargo hauler, crasher truck, deep sea submarine, defense platform, fighter, GEV, interceptor, large jet, lifeboat, maglev train, Martian rover, methane skiff, mobile base, outsystem hover/skimmer, scorcher, siftrunner, small jet, SLOTV, Titanian cargo copter, utility helicopter, Venusian hauler.",,FALSE,TRUE,,,FALSE,
Very Small Size,0,"The bot or creature is roughly mouse- or insect-sized. It counts as a very small target in combat; apply a -30 modifier to attacks against it. Halve the damage from falling or collisions after armor is applied. Smallsize opponents have a reach advantage against it and larger opponents will have double this advantage. The bot/critter suffers a -20 modifier when handling small-sized gear and cannot use any gear that is larger. It cannolt use standard clothing or armor and is too small to fit a cyberbrain. Very small bots and animals have an aptitude maximum for SOM of 5. This trait only applies to bots and creatures that are inherently very small. The following existing bots and creatures are considered to have the Very Small Size trait: bees/wasps, recon flyer/hopper/snake, sky mote, speck.",,FALSE,TRUE,,,FALSE,
VR Vertigo,-10,"The character experiences intense vertigo and nausea when interfacing with any type of virtual reality, XP, or simulspace. Augmented reality has no effect, but VR inflicts a -30 modifier to all of the character's actions. Prolonged use of VR (gamemaster's discretion) may actually incapacitate the character should they fail a WIL x 2 Test.",,TRUE,FALSE,,,FALSE,
"Wait, That Was You?",-10,"This character was the unfortunate star of a viral meme that swept through the solar system's mesh networks-provoking anger, disgust, or mockery towards them. To this day, strangers who access the character's social profile are likely to connect them to that meme, coloring their perception of the character. Once per game session, the gamemaster may decide that a stranger with whom the character is interacting and who has access to the character's online public profile makes the connection. The character suffers a one-time -20 modifier to any social skill or Networking Test with that stranger.",,TRUE,FALSE,,,FALSE,
Weak Grip,-10,"This trait is only available to neo-avian and neo-pig morphs. The physiology of this particular morph is flawed in that the opposable digits on the hands are not fully formed or operational. A character in this morph loses their damage bonus in melee attacks and suffers a -10 modifier on subdual tests (p. 204, EP) and any other tests involving their grip, hand strength, or ability to hold on.",,,,,,FALSE,
Weak Immune System (Level 1),-10,"The morph's immune system is susceptible to diseases, drugs, and toxins. At Level 1, apply a -10 modifier whenever making a test to resist infection or the effects of a toxin or drug.",,FALSE,TRUE,,,FALSE,
Weak Immune System (Level 2),-20,"The morph's immune system is susceptible to diseases, drugs, and toxins. At Level 2, apply a -20 modifier whenever making a test to resist infection or the effects of a toxin or drug.",,FALSE,TRUE,,,FALSE,
Whole Body Apoptosis,0,"This morph has been genetically programmed to suffer a sudden and lethal massive cellular failure at some point in the future, usually within a given 10 year period, though it is possible to target a specific date, give or take a few months. This modification is favored by bioconservatives that wish to live healthy and die quickly and naturally. The cellular failure takes about 10 minutes to complete, giving the character time to stop what they are doing, send any final messages, or commit any other final acts. This trait may only be applied to biomorphs (including pods). Apoptosis may not be initiated voluntarily.",,FALSE,TRUE,,,FALSE,
You're That Guy!,10,"Sometime in the past, this character got their 5 minutes of mesh fame in a funny viral meme that swept the solar system. To this day, strangers who access the character's social profile are likely to connect them to that meme. Though tedious for the character, there is a positive side effect, as these strangers remember the meme fondly and are more likely to help the character out. Once per game session, the gamemaster may decide that a stranger with whom the character is interacting and who has access to the character's online public profile recognizes the character. The character receives a one-time +20 bonus to any social skill or Networking Test with that stranger.",,TRUE,FALSE,,,FALSE,
Zero-G Nausea,-10,"This morph suffers from space sickness and does not fair well in zero-gravity. The character suffers a -10 modifier in any microgravity climate. Additionally, whenever the character is first getting acclimated or anytime they must endure excessive movement in microgravity, they must make a WIL Test or spend 1 hour incapacitated by nausea per 10 points of MoF.",,TRUE,FALSE,,,FALSE,
Zoosemiotics,5,A character with this trait and the Psi trait does not suffer a modifier when using psi sleights on non-sentient or partly-sentient animal species.,,TRUE,FALSE,,,FALSE,
